sample,fastq_1,fastq_2,strandedness
SRR8615293,SRR8615293_1.fastq.gz,SRR8615293_2.fastq.gz,auto
SRR8615294,SRR8615294_1.fastq.gz,SRR8615294_2.fastq.gz,auto
SRR8615295,SRR8615295_1.fastq.gz,SRR8615295_2.fastq.gz,auto
SRR8615296,SRR8615296_1.fastq.gz,SRR8615296_2.fastq.gz,auto
SRR8615297,SRR8615297_1.fastq.gz,SRR8615297_2.fastq.gz,auto
SRR8615298,SRR8615298_1.fastq.gz,SRR8615298_2.fastq.gz,auto
SRR8615299,SRR8615299_1.fastq.gz,SRR8615299_2.fastq.gz,auto
SRR8615300,SRR8615300_1.fastq.gz,SRR8615300_2.fastq.gz,auto
SRR8615301,SRR8615301_1.fastq.gz,SRR8615301_2.fastq.gz,auto
SRR8615302,SRR8615302_1.fastq.gz,SRR8615302_2.fastq.gz,auto
SRR8615303,SRR8615303_1.fastq.gz,SRR8615303_2.fastq.gz,auto
SRR8615304,SRR8615304_1.fastq.gz,SRR8615304_2.fastq.gz,auto
SRR8615305,SRR8615305_1.fastq.gz,SRR8615305_2.fastq.gz,auto
SRR8615306,SRR8615306_1.fastq.gz,SRR8615306_2.fastq.gz,auto
SRR8615307,SRR8615307_1.fastq.gz,SRR8615307_2.fastq.gz,auto
SRR8615308,SRR8615308_1.fastq.gz,SRR8615308_2.fastq.gz,auto
SRR8615309,SRR8615309_1.fastq.gz,SRR8615309_2.fastq.gz,auto
SRR8615310,SRR8615310_1.fastq.gz,SRR8615310_2.fastq.gz,auto
SRR8615311,SRR8615311_1.fastq.gz,SRR8615311_2.fastq.gz,auto
SRR8615312,SRR8615312_1.fastq.gz,SRR8615312_2.fastq.gz,auto
SRR8615313,SRR8615313_1.fastq.gz,SRR8615313_2.fastq.gz,auto
SRR8615314,SRR8615314_1.fastq.gz,SRR8615314_2.fastq.gz,auto
SRR8615315,SRR8615315_1.fastq.gz,SRR8615315_2.fastq.gz,auto
SRR8615316,SRR8615316_1.fastq.gz,SRR8615316_2.fastq.gz,auto
SRR8615317,SRR8615317_1.fastq.gz,SRR8615317_2.fastq.gz,auto
SRR8615318,SRR8615318_1.fastq.gz,SRR8615318_2.fastq.gz,auto
SRR8615319,SRR8615319_1.fastq.gz,SRR8615319_2.fastq.gz,auto
SRR8615320,SRR8615320_1.fastq.gz,SRR8615320_2.fastq.gz,auto
SRR8615321,SRR8615321_1.fastq.gz,SRR8615321_2.fastq.gz,auto
SRR8615322,SRR8615322_1.fastq.gz,SRR8615322_2.fastq.gz,auto
SRR8615323,SRR8615323_1.fastq.gz,SRR8615323_2.fastq.gz,auto
SRR8615324,SRR8615324_1.fastq.gz,SRR8615324_2.fastq.gz,auto
SRR8615325,SRR8615325_1.fastq.gz,SRR8615325_2.fastq.gz,auto
SRR8615326,SRR8615326_1.fastq.gz,SRR8615326_2.fastq.gz,auto
SRR8615327,SRR8615327_1.fastq.gz,SRR8615327_2.fastq.gz,auto
SRR8615328,SRR8615328_1.fastq.gz,SRR8615328_2.fastq.gz,auto
SRR8615329,SRR8615329_1.fastq.gz,SRR8615329_2.fastq.gz,auto
SRR8615330,SRR8615330_1.fastq.gz,SRR8615330_2.fastq.gz,auto
SRR8615331,SRR8615331_1.fastq.gz,SRR8615331_2.fastq.gz,auto
SRR8615332,SRR8615332_1.fastq.gz,SRR8615332_2.fastq.gz,auto
SRR8615333,SRR8615333_1.fastq.gz,SRR8615333_2.fastq.gz,auto
SRR8615334,SRR8615334_1.fastq.gz,SRR8615334_2.fastq.gz,auto
SRR8615335,SRR8615335_1.fastq.gz,SRR8615335_2.fastq.gz,auto
SRR8615336,SRR8615336_1.fastq.gz,SRR8615336_2.fastq.gz,auto
SRR8615337,SRR8615337_1.fastq.gz,SRR8615337_2.fastq.gz,auto
SRR8615338,SRR8615338_1.fastq.gz,SRR8615338_2.fastq.gz,auto
SRR8615339,SRR8615339_1.fastq.gz,SRR8615339_2.fastq.gz,auto
SRR8615340,SRR8615340_1.fastq.gz,SRR8615340_2.fastq.gz,auto
SRR8615341,SRR8615341_1.fastq.gz,SRR8615341_2.fastq.gz,auto
SRR8615342,SRR8615342_1.fastq.gz,SRR8615342_2.fastq.gz,auto
SRR8615343,SRR8615343_1.fastq.gz,SRR8615343_2.fastq.gz,auto
SRR8615344,SRR8615344_1.fastq.gz,SRR8615344_2.fastq.gz,auto
SRR8615345,SRR8615345_1.fastq.gz,SRR8615345_2.fastq.gz,auto
SRR8615346,SRR8615346_1.fastq.gz,SRR8615346_2.fastq.gz,auto
SRR8615347,SRR8615347_1.fastq.gz,SRR8615347_2.fastq.gz,auto
SRR8615348,SRR8615348_1.fastq.gz,SRR8615348_2.fastq.gz,auto
SRR8615349,SRR8615349_1.fastq.gz,SRR8615349_2.fastq.gz,auto
SRR8615350,SRR8615350_1.fastq.gz,SRR8615350_2.fastq.gz,auto
SRR8615351,SRR8615351_1.fastq.gz,SRR8615351_2.fastq.gz,auto
SRR8615352,SRR8615352_1.fastq.gz,SRR8615352_2.fastq.gz,auto
SRR8615353,SRR8615353_1.fastq.gz,SRR8615353_2.fastq.gz,auto
SRR8615354,SRR8615354_1.fastq.gz,SRR8615354_2.fastq.gz,auto
SRR8615355,SRR8615355_1.fastq.gz,SRR8615355_2.fastq.gz,auto
SRR8615356,SRR8615356_1.fastq.gz,SRR8615356_2.fastq.gz,auto
SRR8615357,SRR8615357_1.fastq.gz,SRR8615357_2.fastq.gz,auto
SRR8615358,SRR8615358_1.fastq.gz,SRR8615358_2.fastq.gz,auto
SRR8615359,SRR8615359_1.fastq.gz,SRR8615359_2.fastq.gz,auto
SRR8615360,SRR8615360_1.fastq.gz,SRR8615360_2.fastq.gz,auto
SRR8615361,SRR8615361_1.fastq.gz,SRR8615361_2.fastq.gz,auto
SRR8615362,SRR8615362_1.fastq.gz,SRR8615362_2.fastq.gz,auto
SRR8615363,SRR8615363_1.fastq.gz,SRR8615363_2.fastq.gz,auto
SRR8615364,SRR8615364_1.fastq.gz,SRR8615364_2.fastq.gz,auto
SRR8615365,SRR8615365_1.fastq.gz,SRR8615365_2.fastq.gz,auto
SRR8615366,SRR8615366_1.fastq.gz,SRR8615366_2.fastq.gz,auto
SRR8615367,SRR8615367_1.fastq.gz,SRR8615367_2.fastq.gz,auto
SRR8615368,SRR8615368_1.fastq.gz,SRR8615368_2.fastq.gz,auto
SRR8615369,SRR8615369_1.fastq.gz,SRR8615369_2.fastq.gz,auto
SRR8615370,SRR8615370_1.fastq.gz,SRR8615370_2.fastq.gz,auto
SRR8615371,SRR8615371_1.fastq.gz,SRR8615371_2.fastq.gz,auto
SRR8615372,SRR8615372_1.fastq.gz,SRR8615372_2.fastq.gz,auto
SRR8615373,SRR8615373_1.fastq.gz,SRR8615373_2.fastq.gz,auto
SRR8615374,SRR8615374_1.fastq.gz,SRR8615374_2.fastq.gz,auto
SRR8615375,SRR8615375_1.fastq.gz,SRR8615375_2.fastq.gz,auto
SRR8615376,SRR8615376_1.fastq.gz,SRR8615376_2.fastq.gz,auto
SRR8615377,SRR8615377_1.fastq.gz,SRR8615377_2.fastq.gz,auto
SRR8615378,SRR8615378_1.fastq.gz,SRR8615378_2.fastq.gz,auto
SRR8615379,SRR8615379_1.fastq.gz,SRR8615379_2.fastq.gz,auto
SRR8615380,SRR8615380_1.fastq.gz,SRR8615380_2.fastq.gz,auto
SRR8615381,SRR8615381_1.fastq.gz,SRR8615381_2.fastq.gz,auto
SRR8615382,SRR8615382_1.fastq.gz,SRR8615382_2.fastq.gz,auto
SRR8615383,SRR8615383_1.fastq.gz,SRR8615383_2.fastq.gz,auto
SRR8615384,SRR8615384_1.fastq.gz,SRR8615384_2.fastq.gz,auto
SRR8615385,SRR8615385_1.fastq.gz,SRR8615385_2.fastq.gz,auto
SRR8615386,SRR8615386_1.fastq.gz,SRR8615386_2.fastq.gz,auto
SRR8615387,SRR8615387_1.fastq.gz,SRR8615387_2.fastq.gz,auto
SRR8615388,SRR8615388_1.fastq.gz,SRR8615388_2.fastq.gz,auto
SRR8615389,SRR8615389_1.fastq.gz,SRR8615389_2.fastq.gz,auto
SRR8615390,SRR8615390_1.fastq.gz,SRR8615390_2.fastq.gz,auto
SRR8615391,SRR8615391_1.fastq.gz,SRR8615391_2.fastq.gz,auto
SRR8615392,SRR8615392_1.fastq.gz,SRR8615392_2.fastq.gz,auto
SRR8615393,SRR8615393_1.fastq.gz,SRR8615393_2.fastq.gz,auto
SRR8615394,SRR8615394_1.fastq.gz,SRR8615394_2.fastq.gz,auto
SRR8615395,SRR8615395_1.fastq.gz,SRR8615395_2.fastq.gz,auto
SRR8615396,SRR8615396_1.fastq.gz,SRR8615396_2.fastq.gz,auto
SRR8615397,SRR8615397_1.fastq.gz,SRR8615397_2.fastq.gz,auto
SRR8615398,SRR8615398_1.fastq.gz,SRR8615398_2.fastq.gz,auto
SRR8615399,SRR8615399_1.fastq.gz,SRR8615399_2.fastq.gz,auto
SRR8615400,SRR8615400_1.fastq.gz,SRR8615400_2.fastq.gz,auto
SRR8615401,SRR8615401_1.fastq.gz,SRR8615401_2.fastq.gz,auto
SRR8615402,SRR8615402_1.fastq.gz,SRR8615402_2.fastq.gz,auto
SRR8615403,SRR8615403_1.fastq.gz,SRR8615403_2.fastq.gz,auto
SRR8615404,SRR8615404_1.fastq.gz,SRR8615404_2.fastq.gz,auto
SRR8615405,SRR8615405_1.fastq.gz,SRR8615405_2.fastq.gz,auto
SRR8615406,SRR8615406_1.fastq.gz,SRR8615406_2.fastq.gz,auto
SRR8615407,SRR8615407_1.fastq.gz,SRR8615407_2.fastq.gz,auto
SRR8615408,SRR8615408_1.fastq.gz,SRR8615408_2.fastq.gz,auto
SRR8615409,SRR8615409_1.fastq.gz,SRR8615409_2.fastq.gz,auto
SRR8615410,SRR8615410_1.fastq.gz,SRR8615410_2.fastq.gz,auto
SRR8615411,SRR8615411_1.fastq.gz,SRR8615411_2.fastq.gz,auto
SRR8615412,SRR8615412_1.fastq.gz,SRR8615412_2.fastq.gz,auto
SRR8615413,SRR8615413_1.fastq.gz,SRR8615413_2.fastq.gz,auto
SRR8615414,SRR8615414_1.fastq.gz,SRR8615414_2.fastq.gz,auto
SRR8615415,SRR8615415_1.fastq.gz,SRR8615415_2.fastq.gz,auto
SRR8615416,SRR8615416_1.fastq.gz,SRR8615416_2.fastq.gz,auto
SRR8615417,SRR8615417_1.fastq.gz,SRR8615417_2.fastq.gz,auto
SRR8615418,SRR8615418_1.fastq.gz,SRR8615418_2.fastq.gz,auto
SRR8615419,SRR8615419_1.fastq.gz,SRR8615419_2.fastq.gz,auto
SRR8615420,SRR8615420_1.fastq.gz,SRR8615420_2.fastq.gz,auto
SRR8615421,SRR8615421_1.fastq.gz,SRR8615421_2.fastq.gz,auto
SRR8615422,SRR8615422_1.fastq.gz,SRR8615422_2.fastq.gz,auto
SRR8615423,SRR8615423_1.fastq.gz,SRR8615423_2.fastq.gz,auto
SRR8615424,SRR8615424_1.fastq.gz,SRR8615424_2.fastq.gz,auto
SRR8615425,SRR8615425_1.fastq.gz,SRR8615425_2.fastq.gz,auto
SRR8615426,SRR8615426_1.fastq.gz,SRR8615426_2.fastq.gz,auto
SRR8615427,SRR8615427_1.fastq.gz,SRR8615427_2.fastq.gz,auto
SRR8615428,SRR8615428_1.fastq.gz,SRR8615428_2.fastq.gz,auto
SRR8615429,SRR8615429_1.fastq.gz,SRR8615429_2.fastq.gz,auto
SRR8615430,SRR8615430_1.fastq.gz,SRR8615430_2.fastq.gz,auto
SRR8615431,SRR8615431_1.fastq.gz,SRR8615431_2.fastq.gz,auto
SRR8615432,SRR8615432_1.fastq.gz,SRR8615432_2.fastq.gz,auto
SRR8615433,SRR8615433_1.fastq.gz,SRR8615433_2.fastq.gz,auto
SRR8615434,SRR8615434_1.fastq.gz,SRR8615434_2.fastq.gz,auto
SRR8615435,SRR8615435_1.fastq.gz,SRR8615435_2.fastq.gz,auto
SRR8615436,SRR8615436_1.fastq.gz,SRR8615436_2.fastq.gz,auto
SRR8615437,SRR8615437_1.fastq.gz,SRR8615437_2.fastq.gz,auto
SRR8615438,SRR8615438_1.fastq.gz,SRR8615438_2.fastq.gz,auto
SRR8615439,SRR8615439_1.fastq.gz,SRR8615439_2.fastq.gz,auto
SRR8615440,SRR8615440_1.fastq.gz,SRR8615440_2.fastq.gz,auto
SRR8615441,SRR8615441_1.fastq.gz,SRR8615441_2.fastq.gz,auto
SRR8615442,SRR8615442_1.fastq.gz,SRR8615442_2.fastq.gz,auto
SRR8615443,SRR8615443_1.fastq.gz,SRR8615443_2.fastq.gz,auto
SRR8615444,SRR8615444_1.fastq.gz,SRR8615444_2.fastq.gz,auto
SRR8615445,SRR8615445_1.fastq.gz,SRR8615445_2.fastq.gz,auto
SRR8615446,SRR8615446_1.fastq.gz,SRR8615446_2.fastq.gz,auto
SRR8615447,SRR8615447_1.fastq.gz,SRR8615447_2.fastq.gz,auto
SRR8615448,SRR8615448_1.fastq.gz,SRR8615448_2.fastq.gz,auto
SRR8615449,SRR8615449_1.fastq.gz,SRR8615449_2.fastq.gz,auto
SRR8615450,SRR8615450_1.fastq.gz,SRR8615450_2.fastq.gz,auto
SRR8615451,SRR8615451_1.fastq.gz,SRR8615451_2.fastq.gz,auto
SRR8615452,SRR8615452_1.fastq.gz,SRR8615452_2.fastq.gz,auto
SRR8615453,SRR8615453_1.fastq.gz,SRR8615453_2.fastq.gz,auto
SRR8615454,SRR8615454_1.fastq.gz,SRR8615454_2.fastq.gz,auto
SRR8615455,SRR8615455_1.fastq.gz,SRR8615455_2.fastq.gz,auto
SRR8615456,SRR8615456_1.fastq.gz,SRR8615456_2.fastq.gz,auto
SRR8615457,SRR8615457_1.fastq.gz,SRR8615457_2.fastq.gz,auto
SRR8615458,SRR8615458_1.fastq.gz,SRR8615458_2.fastq.gz,auto
SRR8615459,SRR8615459_1.fastq.gz,SRR8615459_2.fastq.gz,auto
SRR8615460,SRR8615460_1.fastq.gz,SRR8615460_2.fastq.gz,auto
SRR8615461,SRR8615461_1.fastq.gz,SRR8615461_2.fastq.gz,auto
SRR8615462,SRR8615462_1.fastq.gz,SRR8615462_2.fastq.gz,auto
SRR8615463,SRR8615463_1.fastq.gz,SRR8615463_2.fastq.gz,auto
SRR8615464,SRR8615464_1.fastq.gz,SRR8615464_2.fastq.gz,auto
SRR8615465,SRR8615465_1.fastq.gz,SRR8615465_2.fastq.gz,auto
SRR8615466,SRR8615466_1.fastq.gz,SRR8615466_2.fastq.gz,auto
SRR8615467,SRR8615467_1.fastq.gz,SRR8615467_2.fastq.gz,auto
SRR8615468,SRR8615468_1.fastq.gz,SRR8615468_2.fastq.gz,auto
SRR8615469,SRR8615469_1.fastq.gz,SRR8615469_2.fastq.gz,auto
SRR8615470,SRR8615470_1.fastq.gz,SRR8615470_2.fastq.gz,auto
SRR8615471,SRR8615471_1.fastq.gz,SRR8615471_2.fastq.gz,auto
SRR8615472,SRR8615472_1.fastq.gz,SRR8615472_2.fastq.gz,auto
SRR8615473,SRR8615473_1.fastq.gz,SRR8615473_2.fastq.gz,auto
SRR8615474,SRR8615474_1.fastq.gz,SRR8615474_2.fastq.gz,auto
SRR8615475,SRR8615475_1.fastq.gz,SRR8615475_2.fastq.gz,auto
SRR8615476,SRR8615476_1.fastq.gz,SRR8615476_2.fastq.gz,auto
SRR8615477,SRR8615477_1.fastq.gz,SRR8615477_2.fastq.gz,auto
SRR8615478,SRR8615478_1.fastq.gz,SRR8615478_2.fastq.gz,auto
SRR8615479,SRR8615479_1.fastq.gz,SRR8615479_2.fastq.gz,auto
SRR8615480,SRR8615480_1.fastq.gz,SRR8615480_2.fastq.gz,auto
SRR8615481,SRR8615481_1.fastq.gz,SRR8615481_2.fastq.gz,auto
SRR8615482,SRR8615482_1.fastq.gz,SRR8615482_2.fastq.gz,auto
SRR8615483,SRR8615483_1.fastq.gz,SRR8615483_2.fastq.gz,auto
SRR8615484,SRR8615484_1.fastq.gz,SRR8615484_2.fastq.gz,auto
SRR8615485,SRR8615485_1.fastq.gz,SRR8615485_2.fastq.gz,auto
SRR8615486,SRR8615486_1.fastq.gz,SRR8615486_2.fastq.gz,auto
SRR8615487,SRR8615487_1.fastq.gz,SRR8615487_2.fastq.gz,auto
SRR8615488,SRR8615488_1.fastq.gz,SRR8615488_2.fastq.gz,auto
SRR8615489,SRR8615489_1.fastq.gz,SRR8615489_2.fastq.gz,auto
SRR8615490,SRR8615490_1.fastq.gz,SRR8615490_2.fastq.gz,auto
SRR8615491,SRR8615491_1.fastq.gz,SRR8615491_2.fastq.gz,auto
SRR8615492,SRR8615492_1.fastq.gz,SRR8615492_2.fastq.gz,auto
SRR8615493,SRR8615493_1.fastq.gz,SRR8615493_2.fastq.gz,auto
SRR8615494,SRR8615494_1.fastq.gz,SRR8615494_2.fastq.gz,auto
SRR8615495,SRR8615495_1.fastq.gz,SRR8615495_2.fastq.gz,auto
SRR8615496,SRR8615496_1.fastq.gz,SRR8615496_2.fastq.gz,auto
SRR8615497,SRR8615497_1.fastq.gz,SRR8615497_2.fastq.gz,auto
SRR8615498,SRR8615498_1.fastq.gz,SRR8615498_2.fastq.gz,auto
SRR8615499,SRR8615499_1.fastq.gz,SRR8615499_2.fastq.gz,auto
SRR8615500,SRR8615500_1.fastq.gz,SRR8615500_2.fastq.gz,auto
SRR8615501,SRR8615501_1.fastq.gz,SRR8615501_2.fastq.gz,auto
SRR8615502,SRR8615502_1.fastq.gz,SRR8615502_2.fastq.gz,auto
SRR8615503,SRR8615503_1.fastq.gz,SRR8615503_2.fastq.gz,auto
SRR8615504,SRR8615504_1.fastq.gz,SRR8615504_2.fastq.gz,auto
SRR8615505,SRR8615505_1.fastq.gz,SRR8615505_2.fastq.gz,auto
SRR8615506,SRR8615506_1.fastq.gz,SRR8615506_2.fastq.gz,auto
SRR8615507,SRR8615507_1.fastq.gz,SRR8615507_2.fastq.gz,auto
SRR8615508,SRR8615508_1.fastq.gz,SRR8615508_2.fastq.gz,auto
SRR8615509,SRR8615509_1.fastq.gz,SRR8615509_2.fastq.gz,auto
SRR8615510,SRR8615510_1.fastq.gz,SRR8615510_2.fastq.gz,auto
SRR8615511,SRR8615511_1.fastq.gz,SRR8615511_2.fastq.gz,auto
SRR8615512,SRR8615512_1.fastq.gz,SRR8615512_2.fastq.gz,auto
SRR8615513,SRR8615513_1.fastq.gz,SRR8615513_2.fastq.gz,auto
SRR8615514,SRR8615514_1.fastq.gz,SRR8615514_2.fastq.gz,auto
SRR8615515,SRR8615515_1.fastq.gz,SRR8615515_2.fastq.gz,auto
SRR8615516,SRR8615516_1.fastq.gz,SRR8615516_2.fastq.gz,auto
SRR8615517,SRR8615517_1.fastq.gz,SRR8615517_2.fastq.gz,auto
SRR8615518,SRR8615518_1.fastq.gz,SRR8615518_2.fastq.gz,auto
SRR8615519,SRR8615519_1.fastq.gz,SRR8615519_2.fastq.gz,auto
SRR8615520,SRR8615520_1.fastq.gz,SRR8615520_2.fastq.gz,auto
SRR8615521,SRR8615521_1.fastq.gz,SRR8615521_2.fastq.gz,auto
SRR8615522,SRR8615522_1.fastq.gz,SRR8615522_2.fastq.gz,auto
SRR8615523,SRR8615523_1.fastq.gz,SRR8615523_2.fastq.gz,auto
SRR8615524,SRR8615524_1.fastq.gz,SRR8615524_2.fastq.gz,auto
SRR8615525,SRR8615525_1.fastq.gz,SRR8615525_2.fastq.gz,auto
SRR8615526,SRR8615526_1.fastq.gz,SRR8615526_2.fastq.gz,auto
SRR8615527,SRR8615527_1.fastq.gz,SRR8615527_2.fastq.gz,auto
SRR8615528,SRR8615528_1.fastq.gz,SRR8615528_2.fastq.gz,auto
SRR8615529,SRR8615529_1.fastq.gz,SRR8615529_2.fastq.gz,auto
SRR8615530,SRR8615530_1.fastq.gz,SRR8615530_2.fastq.gz,auto
SRR8615531,SRR8615531_1.fastq.gz,SRR8615531_2.fastq.gz,auto
SRR8615532,SRR8615532_1.fastq.gz,SRR8615532_2.fastq.gz,auto
SRR8615533,SRR8615533_1.fastq.gz,SRR8615533_2.fastq.gz,auto
SRR8615534,SRR8615534_1.fastq.gz,SRR8615534_2.fastq.gz,auto
SRR8615535,SRR8615535_1.fastq.gz,SRR8615535_2.fastq.gz,auto
SRR8615536,SRR8615536_1.fastq.gz,SRR8615536_2.fastq.gz,auto
SRR8615537,SRR8615537_1.fastq.gz,SRR8615537_2.fastq.gz,auto
SRR8615538,SRR8615538_1.fastq.gz,SRR8615538_2.fastq.gz,auto
SRR8615539,SRR8615539_1.fastq.gz,SRR8615539_2.fastq.gz,auto
SRR8615540,SRR8615540_1.fastq.gz,SRR8615540_2.fastq.gz,auto
SRR8615541,SRR8615541_1.fastq.gz,SRR8615541_2.fastq.gz,auto
SRR8615542,SRR8615542_1.fastq.gz,SRR8615542_2.fastq.gz,auto
SRR8615543,SRR8615543_1.fastq.gz,SRR8615543_2.fastq.gz,auto
SRR8615544,SRR8615544_1.fastq.gz,SRR8615544_2.fastq.gz,auto
SRR8615545,SRR8615545_1.fastq.gz,SRR8615545_2.fastq.gz,auto
SRR8615546,SRR8615546_1.fastq.gz,SRR8615546_2.fastq.gz,auto
SRR8615547,SRR8615547_1.fastq.gz,SRR8615547_2.fastq.gz,auto
SRR8615548,SRR8615548_1.fastq.gz,SRR8615548_2.fastq.gz,auto
SRR8615549,SRR8615549_1.fastq.gz,SRR8615549_2.fastq.gz,auto
SRR8615550,SRR8615550_1.fastq.gz,SRR8615550_2.fastq.gz,auto
SRR8615551,SRR8615551_1.fastq.gz,SRR8615551_2.fastq.gz,auto
SRR8615552,SRR8615552_1.fastq.gz,SRR8615552_2.fastq.gz,auto
SRR8615553,SRR8615553_1.fastq.gz,SRR8615553_2.fastq.gz,auto
