Run,Cell_line,Cellosaurus_ID
SRR8615620,TE 159.T,CVCL_1743
SRR8615621,HEC-1-B,CVCL_0294
SRR8615622,HEC-251,CVCL_2927
SRR8615623,HEC-265,CVCL_2928
SRR8615624,ECC12,CVCL_1189
SRR8615626,HEC-6,CVCL_2931
SRR8615628,HEL 92.1.7,CVCL_2481
SRR8615629,HELA,CVCL_0030
SRR8615631,DOHH-2,CVCL_1179
SRR8615634,EBC-1,CVCL_2891
SRR8615635,EB1,CVCL_2027
SRR8615638,A-204,CVCL_1058
SRR8615645,8305C,CVCL_1053
SRR8615649,A1207,CVCL_8481
SRR8615650,SNU-475,CVCL_0497
SRR8615653,SNU-503,CVCL_5071
SRR8615654,SNU-423,CVCL_0366
SRR8615658,SNU-520,CVCL_5072
SRR8615661,HuH-7,CVCL_0336
SRR8615663,HuH28,CVCL_2955
SRR8615664,huH-1,CVCL_2956
SRR8615667,HT,CVCL_1290
SRR8615668,HUP-T4,CVCL_1300
SRR8615671,SW 780,CVCL_1728
SRR8615672,TGBC11TKB,CVCL_1768
SRR8615676,SIHA,CVCL_0032
SRR8615677,SK-BR-3,CVCL_0033
SRR8615681,SK-LMS-1,CVCL_0628
SRR8615682,SK-HEP-1,CVCL_0525
SRR8615684,LAMA-84,CVCL_0388
SRR8615686,MUTZ-5,CVCL_1873
SRR8615687,MV-4-11,CVCL_0064
SRR8615690,U-251 MG,CVCL_0021
SRR8615691,PA-TU-8902,CVCL_1845
SRR8615693,U343,CVCL_S471
SRR8615695,MONO-MAC-1,CVCL_1425
SRR8615696,MONO-MAC-6,CVCL_1426
SRR8615698,MOR/CPR,CVCL_2620
SRR8615700,MSTO-211H,CVCL_1430
SRR8615701,MUTZ-3,CVCL_1433
SRR8615704,KARPAS-422,CVCL_1325
SRR8615705,KARPAS-620,CVCL_1823
SRR8615708,KNS-81,CVCL_2799
SRR8615710,JVM-2,CVCL_1319
SRR8615711,JVM-3,CVCL_1320
SRR8615714,KALS-1,CVCL_1323
SRR8615716,K029AX,CVCL_8784
SRR8615717,K-562,CVCL_0004
SRR8615720,TUHR14TKB,CVCL_5953
SRR8615721,TUHR10TKB,CVCL_5952
SRR8615722,RH-30,CVCL_0041
SRR8615724,TTC709,CVCL_8007
SRR8615726,TT,CVCL_1774
SRR8615727,T.T,CVCL_3174
SRR8615729,TOV-21G,CVCL_3613
SRR8615732,GB-1,CVCL_1227
SRR8615735,FU97,CVCL_2908
SRR8615738,G-361,CVCL_1220
SRR8615739,G-401,CVCL_0270
SRR8615741,GA-10,CVCL_1222
SRR8615744,SH-10-TC,CVCL_5167
SRR8615747,RL,CVCL_1660
